objectid,case.item,caseid,aeon_id,itemimage,title,description,image_alt_text,attr,orig_link
4-3b,4.3,4,57018,57018_Turcos-and-Zouaves_03m.webp,Zouavre (sic),"Cartes-de-visite were commonly traded among friends and visitors in the 1860s. The albums that collected and displayed these cards became a common fixture in Victorian parlors. Their relatively low cost contributed to the popularity of the format and its rapid adoption worldwide, which made portrait photographs accessible to a broader demographic. The cards also made the ideal way to remember loved ones fighting in foreign wars, making soldiers frequent clients at photography studios. Prior to the advent of mechanical reproduction of photographs, cartes-de-visite facilitated the dissemination and collection of portraits of prominent persons as an early form of celebrity culture. It is uncertain whether these photographs were given as personal portraits between familiars or as character types of ethnic groups serving in the French Army, which was also a common use of these carte-de-visite, akin to earlier costume album paintings.\nAll of these cartes-de-visite feature Zouave uniforms, yet only the one portraying Turcos was definitively photographed by a studio in Algiers. Part of the appeal of this cross-cultural uniform was how intentionally difficult it became to discern the ethnic origins of a soldier with certainty (though the titles tirailleurs and turcos often indicated troops of North African descent). Likewise, the popularity of Zouave soldiers — and the women who served as cantinières, or canteen keepers, and who sometimes fought alongside them in battle — spurred many French consumers and performers, including female burlesque dancers, to dress in Zouave costumes for studio portraits. Though a highly exoticizing use of regional fashion, the rising numbers of commercial portraits of civilians donning Zouave costumes attest to how these soldiers and the visual traces of colonization had infiltrated the popular imaginations of French consumers.\n",,"D. F. Millet (photographer, active 1850s)
Albumen photograph (carte-de-visite)
Paris, France, 1858?\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:86039/
4-3c,4.3,4,57018,57018_Turcos-and-Zouaves_05m.webp,Zouavre (sic),"Cartes-de-visite were commonly traded among friends and visitors in the 1860s. The albums that collected and displayed these cards became a common fixture in Victorian parlors. Their relatively low cost contributed to the popularity of the format and its rapid adoption worldwide, which made portrait photographs accessible to a broader demographic. The cards also made the ideal way to remember loved ones fighting in foreign wars, making soldiers frequent clients at photography studios. Prior to the advent of mechanical reproduction of photographs, cartes-de-visite facilitated the dissemination and collection of portraits of prominent persons as an early form of celebrity culture. It is uncertain whether these photographs were given as personal portraits between familiars or as character types of ethnic groups serving in the French Army, which was also a common use of these carte-de-visite, akin to earlier costume album paintings.\nAll of these cartes-de-visite feature Zouave uniforms, yet only the one portraying Turcos was definitively photographed by a studio in Algiers. Part of the appeal of this cross-cultural uniform was how intentionally difficult it became to discern the ethnic origins of a soldier with certainty (though the titles tirailleurs and turcos often indicated troops of North African descent). Likewise, the popularity of Zouave soldiers — and the women who served as cantinières, or canteen keepers, and who sometimes fought alongside them in battle — spurred many French consumers and performers, including female burlesque dancers, to dress in Zouave costumes for studio portraits. Though a highly exoticizing use of regional fashion, the rising numbers of commercial portraits of civilians donning Zouave costumes attest to how these soldiers and the visual traces of colonization had infiltrated the popular imaginations of French consumers.\n",,"Unknown studio\nAlbumen photograph (carte-de-visite)
Paris, France?, circa 1850s\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:86039/
4-4,4.4,4,59651,cantiniere_au_zouaves.webp,Cantinière au Zouaves,"Cartes-de-visite were commonly traded among friends and visitors in the 1860s. The albums that collected and displayed these cards became a common fixture in Victorian parlors. Their relatively low cost contributed to the popularity of the format and its rapid adoption worldwide, which made portrait photographs accessible to a broader demographic. The cards also made the ideal way to remember loved ones fighting in foreign wars, making soldiers frequent clients at photography studios. Prior to the advent of mechanical reproduction of photographs, cartes-de-visite facilitated the dissemination and collection of portraits of prominent persons as an early form of celebrity culture. It is uncertain whether these photographs were given as personal portraits between familiars or as character types of ethnic groups serving in the French Army, which was also a common use of these carte-de-visite, akin to earlier costume album paintings.\nAll of these cartes-de-visite feature Zouave uniforms, yet only the one portraying Turcos was definitively photographed by a studio in Algiers. Part of the appeal of this cross-cultural uniform was how intentionally difficult it became to discern the ethnic origins of a soldier with certainty (though the titles tirailleurs and turcos often indicated troops of North African descent). Likewise, the popularity of Zouave soldiers — and the women who served as cantinières, or canteen keepers, and who sometimes fought alongside them in battle — spurred many French consumers and performers, including female burlesque dancers, to dress in Zouave costumes for studio portraits. Though a highly exoticizing use of regional fashion, the rising numbers of commercial portraits of civilians donning Zouave costumes attest to how these soldiers and the visual traces of colonization had infiltrated the popular imaginations of French consumers.\n",,"Léon Crémière (photographer, 1831–1913)
Albumen photograph (carte-de-visite)
Paris, France, 1869\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:83045/
4-5,4.5,4,57420,57420_Abd-el-Kader-Quadrille_01m.webp,The Abd el-Kader Quadrille,"Before the surrender of Abd el-Kader (1808–83) in December 1847, he actively resisted French colonizers, sparking recognition and admiration across the globe. His reputation of resistance even inspired commemorative pieces of music, including this eponymous quadrille. By this period, this genre of music often accompanied groups of four couples dancing in a square formation at balls and clubs. However, quadrilles originated in the seventeenth century as military parades wherein four mounted horsemen demonstrated square formations. Fittingly, the cover to this quadrille’s sheet music offers a nod to that past by portraying Abd el-Kader, sword in hand, dashing on horseback to join a battle against the French. Minasi, the composer of this sheet music, was a London-born son of an Italian immigrant. He composed over forty albums of music for the concertina and published over forty tutors for students of the concertina and various other instruments, which range from martial themes to women’s daily lives.",,"Carlo Minasi (composer, 1817–91)
Chromolithograph
Day & Son (lithographer), 1845\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:389405/
4-6,4.6,4,57013,Abd-El-Kader.webp,"Abd-el-Kader rendant visite au Prince-Président, dans sa loge, à la représentation extraordinaire donnée à l'Opéra\n","Following Abd el-Kader’s surrender in December 1847, the short-lived French Second Republic outlined a policy of assimilation and settlement. The 1848 Constitution declared Algeria to be a “French territory.” From 1852, the Second Empire strengthened the military in administering the territories, quelling resistance in oases of the Northern Sahara and, in 1857, Kabylia, the last independent stronghold at the heart of Algeria. Abd el-Kader was at last released from his detention in France on October 16, 1852. Napoleon III welcomed him to Paris, greeting him with all the pomp befitting a head of state and a worthy adversary of the French. This purely propagandistic gesture occurred at the Opéra’s performance of Rossini’s Mosé in Egitto (Moses in Egypt), where Napoleon hailed Abd el-Kader as the “Vercingétorix algérien,” comparing him to the Gaulish leader who capitulated to Caesar and became a symbol of a poetic primitive past in French folklore.",,"Ange-Louis Janet (aka Janet-Lange) (artist, 1815–72)
Engraving
L’illustration 20 (October 28, 1852)
Paris, France: Armand le Chevalier et Cie\nBrown University Library, Starred Book Collection",https://repository.library.brown.edu/studio/item/bdr:86839/
4-7,4.7,4,57014,57014_Harpers_03m.webp,A Zouave in Marching Order,"American magazines like Harper’s Weekly carefully documented the uniforms of Zouaves and Turcos who fought in the French Army following the conquest of Algeria in 1830. Though seldom named individually, by this period Zouaves could refer to either Algerian-born soldiers or Frenchmen who took up the uniform to serve in the newly formed Zouave corps. Sketches sent from soldier artists at the front lines, such as Lieutenant Bocher, were quickly translated into prints and circulated across American presses. These images echo the painted and printed costume studies popularized around the Mediterranean by local commercial artists. The illustrations allowed readers to visualize the troops discussed in articles reporting skirmishes across Europe, including this conflict in Piedmont, Italy. Here, the central Zouave showcases the back of his uniform with pack and equipment. Two other bust portraits give closer attention to the distinctive headgear, mantles and vests worn in these corps.\n",,"Etching and letterpress print from a sketch by Lieutenant Bocher
Harper's Weekly 377 (June 11, 1859)
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:226909/
4-8,4.8,4,57016,menu-karte.webp,Invitation Card for the 1st Guard Zouaves Regiment in Versailles,"This invitation card features a Zouave figure before a curtain unveiling a blank unfurled scroll, ready for the host to inscribe an invitation requesting the presence of the recipient at dinner. Such graphic invitation cards gained popularity among polite society during the middle of the nineteenth century. Often tailored to fit the themes chosen by the host, this one may have been intended for a dinner for the first Zouave regiment stationed at Versailles. North African and colonial scenes populate the border. The top margin depicts a simple soldier’s fare consumed on duty. On the left, soldiers hike single file down a mountain path toward a lavish feast (“diffa,” from Moroccan Arabic ضِيفَة: ḍīfa) served and labeled at the bottom of the page. By highlighting the collective meals and journeys undertaken by Zouaves, the card calls them to a more formal gathering to commemorate their military service. Its imagery further preserves how their shared memories tied these men together just as closely as their distinctive uniforms.",,"Charles Dominique Oscar Lahalle (artist, 1833–1909)
Tinted lithograph\nParis, France: Frick frères, 1859
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:248834/
5-1,5.1,5,57020,Sword-Full_01.webp,"Zouave Sword of Col. Rush Hawkins, c. 1863","Jeweler Charles L. Tiffany and his partners devoted the capital and facilities at Tiffany & Co. to support the Union government as a military supply depot. Their efforts continued after the war with orders for hundreds of richly mounted testimonial swords honoring battlefield heroes. These swords cost between $500 and $10,000 at the time, with the most lavish example going to General Ulysses S. Grant. His sword was equipped with a gold scabbard studded with rubies, diamonds, and sapphires (national colors), valued at nearly $100,000 in 1864. Another notable example lauded in the early annals of Tiffany & Co. was this ceremonial sword presented to Col. Rush Hawkins by his fellow citizens of New York in May of 1863. Hawkins led the 9th New York Volunteers (“Hawkins’ Zouaves”) during the first two years of the Civil War. The sword includes a relief of a Zouave soldier on the hilt and a list of Hawkins’ battles inscribed along the blade.",,"Tiffany & Co., New York
Silver, gilt, and steel metalwork
Brown University, Annmary Brown Memorial",
5-2,5.2,5,57021,57021_Burnside-Zouaves_01m.webp,“Burnside Zouaves” March,"Uniforms varied considerably among Civil War units that adopted Zouave garb, but the most important unifying feature of these units was their excellence in drill techniques. This sheet music of a military march, composed by the leader of the American Brass Band in Providence, RI, captures both of these elements in its cover. Union Zouave officers model their uniforms as their colleagues demonstrate drills in the background. This music may have accompanied drills, much like those referenced on the cover. These drills, particularly bayonet exercises, became a staple of public military performances, which the bright colors of the Zouave uniform augmented with theatrical panache.",,"David Wallis Reeves (composer, 1838–1900)\nChromolithograph
Verelst & Co. (lithographer), 1868
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:392447/
5-3,5.3,5,57022,philadelphia-zouaves.webp,Philadelphia Zouave Corps: Pennsylvania Volunteers,"From summer to fall of 1861, eight Union Zouave regiments and several companies organized  to join Northern forces during the first ninety days of the Civil War. This military parade highlights the formation of one of those Zouave volunteer regiments from Philadelphia. Led by drummers, all militia members appear dressed in the characteristic Ottoman-inspired turban wrapped around a red fez, with loose pantaloons and a short jacket ornamented with gold cord. The officers sport more westernized uniforms, with knotted cord accenting their forearms and colors matching their troops. If one looks closely, a lone woman marches with these troops behind her officer, only discernible by the knee-length dark skirt added to her uniform. A small barrel strapped around her torso identifies her as a vivandière or cantinière (canteen keeper). These civil merchants were sometimes soldiers’ wives who sold provisions to armies. During the American Civil War, they became known for nursing the wounded.",,"James Queen (artist, 1824–c. 1877)
Chromolithograph
Auguste Feusier (lithographer, b. 1833)
P. S. Duval & Son, 1861
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:249076/
5-4,5.4,5,57025,ny_zouave.webp,New York Zouave Stationery,"Premade envelopes emerged toward the end of the eighteenth century and rapidly developed with the introduction of penny postage. By the mid-nineteenth century, bespoke stationery gained popularity among a wide range of consumers. American printing firms that operated during the Civil War began publishing striking pictorial envelopes illustrating barracks, fortifications, battle scenes, and even famous militia corps. On the left of this envelope, a New York Zouave holds a rifle in front of a fort flying the Union flag. Under him, the date and printer’s address reveal details about the municipal registration of such products with the clerk’s office of the District Court of the Southern District of New York. Most of such surviving envelopes came from New York firms, while others were printed in Boston, Cincinnati, Philadelphia, Hartford and Chicago. Production of this type of elaborate martial stationery ceased after 1861, possibly due to the gravity of the war and restrictions on indulgences.",,"Hand-colored engraving
New York City, New York: F. K. Kimmel, 1861
Brown University, Lincoln Collection",https://repository.library.brown.edu/studio/item/bdr:575760/
5-5,5.5,5,57024,model_zouave.webp,A Model Zouave,"Often marked by their resistance to standard-issue uniforms, Zouaves became known for their zest for adventure and an irreverent attitude toward discipline. This satirical cartoon of a Zouave volunteer accompanies a short poem that backhandedly praises their amateur reputation during the Civil War. The opening “Lay low, lay low, my jolly boy,” offers avuncular advice to these untested volunteers in the militia (citizen soldier) forces. Possibly poking fun at their zeal and insufficient training, the image depicts the Zouave twisting himself so far as to become looped into a knot, with his bottom raised high above his head. As if anticipating any feeling of inferiority about their differences from professional infantry regiments, the poem assures them that “You’re enough for any rebel,” comparing the ferocity of these men to “the devil,” despite the somewhat worried look on this Zouave’s face.",,"Hand-colored etching
New York, New York: N.Y. Union Valentine Co. (attr. publisher), 1861
Brown University Library, Harris Collection of American Poetry and Plays",https://repository.library.brown.edu/studio/item/bdr:280288/
5-6,5.6,5,58757,58757_The-Zouave_01m.webp,Zouave Dress,"Zouave fashions for women could range from single garments like vests and jackets to day dresses, riding habits, and morning robes. Often ornamented with cross-laced gold cord, the outer jackets were worn open from the throat to display a white silk or muslin vest underneath (á la Zouave). Godey’s also preserves patterns for Zouave-inspired embroideries and mentions agencies who sent dress patterns to readers, showcasing the wide range of applications for this style. The woman pictured here sports a Zouave “négligé toilet” or indoor dress, complete with laced tassels on the oversize sleeves. The accompanying text suggests velvet for the base cloth and bright green silk cord or braid alongside the gold to relieve “the garish crudity of the metal.” Despite the military inspiration for the outfit, tailors and seamstresses endeavored to tone down the look with softer color contrasts and fabrics.",,"Letterpress print and engraving
Godey’s Magazine and Lady’s Book, vol. 62-3 (1861)
Philadelphia, Pennsylvania: Louis A. Godey, Publishers’ Hall
Brown University Library, Harris Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991012991909706966
5-7,5.7,5,57023,littlezouave.webp,The Little Zouave: “Up Boys and at Them”,"Zouave uniforms made popular costumes for children, including playsuits and toy soldier wardrobes. These outfits miniaturized key elements of the original costume, such as baggy pantaloons secured with a sash paired with an open jacket and topped with a fez. Some ensembles completed the look with various cultural references, including accessories like a curved “Mameluke” sword, adapted from Ottoman Egyptian weaponry, and an American flag. Many tailors found eager consumers in children from bourgeois and elite households, even prompting Teddy Roosevelt’s parents to commission a photographic portrait of their four-year-old son in the costume. One popular children’s story tapped into the phenomenon of Zouave-inspired toys in the Christmas Eve edition of Harper’s Weekly (1864): a dolls’ gala sets the scene for a romance between a Parisian belle and an inexperienced but dazzling Zouave toy soldier, purchased at a benefit fair. Countless other children’s stories further played on the sentimental and lovestruck persona of the Zouave as a protagonist.",,"Hand-painted lithograph
New York, New York: Currier & Ives, 1861
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:233352/
6-1,6.1,6,57026,AkbarII_01md.webp,State Procession of Emperor Akbar II,"By the late eighteenth century, the Mughal emperor acted as a nominal dispenser of legitimacy rather than a governing authority in northern India. Smaller principalities capitalized on this breakdown in centralization to seize control throughout Mughal lands. Likewise, the emperor no longer appointed his regional subordinates, only confirming those who could subdue his rivals. This fraught political landscape allowed the British East India Company (BEIC) to become the dominant political and military actor in mid-nineteenth-century India. That shift materializes in later Mughal painting, such as this scroll in which the visual hierarchy reflects the latest power dynamics. Close behind the elephant carriage (howdah) of Emperor Akbar II (r. 1806–1837), an even taller howdah bears representatives of the BEIC juxtaposed in European dress. That prominent placement befits the growing British role in Indian political life. By this point, the BEIC collected taxes from Delhi and maintained military forces there. In return, the Mughal emperor maintained some acknowledgement from the BEIC, which provided him a pension.\n",,"Unknown Workshop, Mughal Empire
Opaque watercolor (gouache) on paper, 1832
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991033791579706966
6-2,6.2,6,57027,Oudh_01md.webp,State Procession of the Nawab of Awadh (Oudh),"The prosperity of Awadh in the late eighteenth century attracted numerous Indian painters, poets, musicians and performers. It likewise enticed many Britons and Europeans into long-term residencies where they served in military or advisory roles. They subsequently attracted European artists, stimulating dynamic cross-cultural exchanges in arts and architecture, which produced works like this scroll featuring a procession through Lucknow of Wajid Ali Shah (r. 1847–56), the final ruler (nawab) of Awadh, and his minister. Wajid Ali Shah inherited a throne virtually bereft of political power. In 1856, two days before the ninth anniversary of his coronation, the BEIC fully annexed Awadh. The nawab was exiled to Kolkata with a generous pension. Major-General Sir James L. Sleeman, the “famous suppressor of Thuggee” (Indian cults of professional robbers and murderers) sent this sixteen-foot-long scroll to England in 1850. Sleeman strictly opposed outright annexation, but his reports of “lawlessness” in Awadh helped justify the endeavor.",,"Unknown company artist, Awadh
Watercolor on paper, c. 1841–7
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991033946769706966
6-3,6.3,6,57033,57033_Nawab_Sadat.webp,Nawab Sadat Ali Khan Holding a Durbar,"Lucknow today holds few treasures from its rich premodern past. Upon recapturing the city, British soldiers freely looted the royal palace. Official prize agents seized anything left of value for auction, distributing proceeds to victorious officers and soldiers. Large oil paintings that had previously hung in the Coronation Hall numbered among the spoils. Lieutenant Colonel Gould Hunter-Weston (1823–1904) had four of them copied by Lucknow court painter Mussowar Khan, who skillfully reduced them to watercolors of a more manageable size to send home. This watercolor is one of two editions; the second resides at Hunterston House in Ayrshire, Scotland. Both copied a now-lost earlier painting in which Nawab Sadat Ali Khan (r. 1798–1814) sits with his son on a takht (throne) during a durbar (reception). High-ranking Indian and European officials in late eighteenth-century Lucknow surround him, including British Resident Colonel William Scott (d. 1804), seated left of the nawab, and the chief minister, Tafuzzai Hussein Khan (1727–1800), seated right, next to the nawab.",,"Mussowar Khan (attr. artist)\nWatercolor on paper, 1799
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:244698/
6-4,6.4,6,58758,58758.webp,"H. M. Musserodeen Hyder, King of Oude (Nasir al-Din Haidar, Nawab of Awadh)","Among the regional power players who sought to gain leverage from a splintering Mughal Empire were the rulers (nawab) of Awadh (northern India). This portrait of Nasir al-Din Haidar (r. 1837–47), the Nawab of Awadh, captures the delicate balance of forces that these rulers navigated between the Mughals, their local competitors, alongside British and French forces. His full-length portrait somewhat adopts the appearance of a European ruler, though his head dons a Persianate crown framed by a red nimbus recognizable to local potentates in South Asia. His court dress and garter cloak evoke another visual language of power in close conversation with European states as he leans against a rococo desk set before a velvet drape and fluted marble column. The crown and imperial regalia worn at his coronation were designed in this hybrid style by English artist Robert Home (1752–1834). However, the greenery past the low marble fence recalls courtly terraces frequently found in earlier paintings from Lucknow and surrounding workshops.\n",,"Unknown company artist, Awadh\nWatercolor on paper, 1827
Brown University Library, Anne S. K. Brown Collection",https://repository.library.brown.edu/studio/item/bdr:230770/
6-5,6.5,6,57029,57029_Indian-Supernatural_01m.webp,Indian Supernatural Being Attacking Fort Defended by British Troops,"This painting’s Indo-Persian text praises the governor of Bihar (northeast India), who appears in the guise of an angel “with fire flame the length and width of sixty royal kar, who appeared like a rising tornado” against the forces of the BEIC and their newly enlisted sepoy soldiers. Based on the location and architecture, the scene likely depicts the Battle of Buxar (1764). British victories here and at the Battle of Plassey (1757) forced Mughal Emperor Shah Alam to sign over the Diwani of Bengal (the richest province in India at the time), Bihar and Orissa to the BEIC in the Treaty of Allahabad in 1765, giving the BEIC rights to collect land revenues in these provinces. However, not all surviving powers of northern India capitulated to the British. Following the Battle of Buxar, the rulers of Oudh (Avadh) and the powerful zamindars, like the raja of Banaras, expanded and reorganized to continue resisting the British for years.\n",,"Unknown Mughal workshop\nOpaque watercolor on paper, c. 1791
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:227571/
6-6,6.6,6,57032,57032_42m.webp,“Siege of Bharatpur (Bhurtpore)”,"In the Siege of Bharatpur (1805), capital of the Jat Kingdom in Rajasthan, sepoy infantry and cavalry comprised over half of British forces. Called the “Bengal Native Infantry,” these locally hired soldiers aided in neutralizing the power of Maratha-allied Jat forces and their French-trained armies. This commercial album, likely once owned by BEIC associate William Jenkins, features a battle scene that mirrors verses in Gīt Bharatpur rau, the Rajastanti martial epic recounting this siege. In this painting, Maratha horsemen charge against the heavy gunfire and artillery of British forces as defensive cannons from the fort fire down on the encroaching British lines. Meanwhile, the royals enjoy a dance performance at the heart of an elaborate garden palace constructed in the Mughal mode. Fire from the Jat defenders rained so fiercely that the British eventually abandoned the siege, but they succeeded in capturing Bharatpur in their second siege in 1825.",,"Ram Dutta (attr. artist)
Opaque watercolor on paper, c. 1805
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:hdnyqnvr/
6-7,6.7,6,57028,57028.webp,“The Last Effort and Fall of Tippoo Sultaun”,"Tipu Sultan, ruler of Mysore (southern India), not only pioneered rocket artillery and raised his kingdom’s economy to its height, he also became one of the most renowned enemies of the BEIC. He resisted imperial forces until his death battling British troops on May 4, 1799, during the Siege of Seringapatam, when the BEIC besieged Tipu's French-allied capital during the Fourth Anglo-Mysore War (1798–99). This plate, likely from a book, reframes Singleton’s original painting with the figures of an Indian soldier in the left margin and a British officer in the right margin, crediting the painter and printer below the figures. Perhaps humorously, the printer has assumed the role of the British officer, as if alluding to how their printed version of the image has superseded the original painting. The bottom vignette references another scene painted by Singleton that illustrates the surrender of Tipu Sultan’s two sons as hostages to General Sir David Baird (1757–1829).",,"Henry Singleton (artist, 1766–1839)
John Rogers (engraver, active c. 1825–42)
Engraving
London, England: John & Frederick Tallis, c. 1799
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:230757/
6-8,6.8,6,58619,Fireworks_01md.webp,"“Magnificent Display of Fireworks, Prepared by Isaac Edge, Jr., of New York”\n","Decades after the fall of Tipu Sultan, his legacy in American memory lingered in an unexpected way: the production of fireworks. Tipu Sultan and his father, Hyder Ali, gained renown during their lifetimes for expanding the use of the iron-cased Mysorean rockets in their wars against the BEIC. His reputation as a pioneer of rocket artillery lived on past his rule. This broadside credits him with inventing signal rockets with “brilliant reflecting light,” which headlined a fireworks display orchestrated by Isaac Edge Jr. (1801–59) for the Uniformed Militia at Camp Seymour in East Hartford, Connecticut, on October 20, 1847. Replete with exoticizing allusions, the names of fireworks reference key elements of orientalist imaginaries through the foreign origins (both real and spurious) of each pyrotechnic, including the “Indian Palmetto” and “Persian Rose” fireworks, both composed of “Chinese gerbs, which produced fountains or jets of sparks.",,"Letterpress print
Hartford, Connecticut: Press of Elihu Geer, 1847
Brown University Library, Broadsides Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991034383999706966
6-9,6.9,6,57030,57030_Columbian-Centinel_01m.webp,Ode Presented by the Carrier of the Columbian Centinel,"This broadside offers a two-column ode to its American readers surveying current events abroad and at home. Two regions at the heart of this exhibit take a prime spot in this installment’s reporting: American naval prowess in North Africa against Barbary States, as well as the “British fight against Mahrattas and Hindoos” who opposed the spread of the BEIC. Concerning the latter event in particular, the author laments, “On foreign lands we will no longer roam; Well pleas’d, to view our happier state at home.” Not only did these imperial conflicts interrupt American travel but exorbitant protective tariffs and the rise in cotton textile manufacturers in the United States and Europe also caused a decline in India trade. However, luxury imports from India, such as Kashmir shawls and raw materials like indigo, animal hides and saltpeter, continued to remain valuable commodities in the United States into the mid-nineteenth century.",,"Letterpress print
Boston, Massachusetts: Benjamin Russell, January 1, 1819
Brown University Library, Harris Collection",https://repository.library.brown.edu/studio/item/bdr:51030/
7-1,7.1,7,57040,57040_Sepoy-and-Men-in-Boat_01m.webp,Indian Sepoy Soldier and Men in a Boat,"Striking uniforms identified sepoy soldiers as part of the army service of the British East India Company. Their costume also distinguished them from the established norms of social hierarchy in Indic societies. This painting of a crowded boat crossing a body of water captures that contrast. The sepoy’s tailored red coat with green collar and cuffs topped with a black tricorn hat immediately stands out against the white and neutral tones of the Hindu men around him. Rather than identifying caste by the markings on their forehead, the sepoy’s entire ensemble indicates that he is operating within the sartorial system of a colonizing power. Even the colorful Mughal outfit on the man at the far left featuring blue spotted robes (jama) topped with a red-and-yellow turban (pagri) bears closer structural similarities to the clothing of the other Indic men around him in regional dress than to the sepoy.",,"Unknown Tajore artist/workshop, British East India
Opaque watercolor (gouache) on paper, c. 1820
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:227582/
7-2,7.2,7,57035,group_of_sepoy.webp,“A group of Sepoy [sic]” and “British Cavalry Crossing the Ferry at Allahabad”,"This news clipping reports the lopsided proportions of BEIC troops to the wider Indian populace, which estimated “one soldier to six hundred determined men,” underscoring how indebted Britain was to local sepoy soldiers. These hired Indian troops bolstered BEIC armies as British soldiers struggled to acclimate to the hot climates of India. While praising their bravery and hardiness, the article also addresses one key issue leading to their dissent: As sepoy officers rose in the ranks, they still remained tied to their familial associations and customs, including religious and/or caste dynamics, which led to divisions between them and their non-Indian subordinates. The accompanying illustrations further juxtapose the demeanor of disciplined sepoy officers against their civilian brethren, reflecting the American author’s admiration of colonial training. Above, Indian civilians passively watch as British cavalrymen cross the Ganges at Allahabad. Below, several sepoys stand ready for active deployment in their western-style uniforms.\n",,"Woodblock and letterpress print
Frank Leslie's Illustrated Newspaper (October 24, 1857)
Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:230744/
7-3,7.3,7,57034,delhi_king_capture.webp,“Capture of the King of Delhi by Captain Hodson”,"Bahadur Shah II reigned as the last Mughal emperor. In 1837, he succeeded his father, Akbar II, who is featured in the processional scroll in the facing case. Though he held the title of emperor, the Mughal Empire survived in name only, as his authority was reduced to the walled city of Old Delhi (Shahjahanabad), hence he acquired the sobriquet “King of Delhi” among foreigners. He held his first formal audience in years on May 12, 1857, with regiments of rebelling sepoys. When they executed fifty-two European prisoners in the palace on May 16, the implicated ruler relented to their demands and backed their bid to install him as emperor of all India. Following the Siege of Delhi, BEIC forces surrounded the tomb of the emperor’s forefather (Humayun) on the outskirts of Delhi and captured Bahadur Shah on September 20. The British subsequently deposed and exiled him to Rangoon in British-controlled Burma.",,"Unknown artist
Watercolor and wash on paper, 1857
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:243272/
7-4,7.4,7,57042,57042_Law-Custom-Slavery-British-India_02m.webp,"The Law and Custom of Slavery in British India, in a Series of Letters to Thomas Fowell Buxton, Esq.","American merchants conducted most of their business in British-controlled ports like Madras and Calcutta, where race functioned as the organizing principle, further fueled by caste and religious division in India. This social structure resonated with American merchants who faced mounting racial tensions over the slavery of Black peoples at home. American clergyman and abolitionist William Adam highlighted these comparisons in letters published in 1840, shortly before Boston East Indian merchants arranged his appointment as Professor of Oriental Linguistics at Harvard. Adam warned of British complacency. Even though the British Empire had ended slavery in the West Indies, slavery and racial inequities in India remained unchanged. American traveler Bayard Tayor writes in A Visit to India (1862), “Why is it that the virtue of Exeter Hall and Stafford House can tolerate this without a blush, yet condemn, with pharisaic zeal, the social inequality of the negro and white races in America?”",,"William Adam (author, 1796–1881)
Bound volume\nBoston, Massachusetts: Weeks, Jordan, & Company, 1840
Brown University Library, Lincoln Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991032737539706966
